date,price
2024-05-21,70141.17
2024-05-22,69123.56
2024-05-23,67946.35
2024-05-24,68548.33
2024-05-25,69288.95
2024-05-26,68488.29
2024-05-27,69386.83
2024-05-28,68330.84
2024-05-29,67576.81
2024-05-30,68346.19
2024-05-31,67482.25
2024-06-01,67721.6
2024-06-02,67738.74
2024-06-03,68799.6
2024-06-04,70548.51
2024-06-05,71117.68
2024-06-06,70772.35
2024-06-07,69330.51
2024-06-08,69303.58
2024-06-09,69639.42
2024-06-10,69505.57
2024-06-11,67319.41
2024-06-12,68247
2024-06-13,66742.54
2024-06-14,66006.13
2024-06-15,66188.81
2024-06-16,66631.59
2024-06-17,66481.73
2024-06-18,65158.02
2024-06-19,64950.82
2024-06-20,65797.14
